
insert into TabladeEmpleados values(526540, 'Angelique', 'K', 'Goodwin', 'F', 'angelique.goodwin@gmail.com', '5/15/1964', '0.157476851851852', '3/24/2001', '212-884-7146', '471-57-0359', 'akgoodwin'),
(859327, 'Jeni', 'S', 'Shaffer', 'F', 'jeni.shaffer@gmail.com', '1/13/1962', '0.466331018518519', '42289', '205-665-7020', '624-85-4146', 'jsshaffer'),
(887387, 'Donald', 'T', 'Farris', 'F', 'donald.farris@bellsouth.net', '21493', '0.999201388888889', '29200', '205-959-7879', '097-02-3315', 'dtfarris'),
(779497, 'Steven', 'D', 'Rendon', 'M', 'steven.rendon@gmail.com', '30045', '0.0461805555555556', '9/18/2008', '217-858-0054', '134-98-6566', 'sdrendon'),
(896517, 'Jenell', 'L', 'Almanza', 'F', 'jenell.almanza@yahoo.com', '21192', '0.186736111111111', '7/14/1993', '314-893-2590', '599-92-7345', 'jlalmanza'),
(220965, 'Almeta', 'Y', 'Brookins', 'F', 'almeta.brookins@gmail.com', '31264', '0.147881944444444', '4/25/2017', '229-238-0915', '109-98-3095', 'aybrookins'),
(721091, 'Bobbie', 'E', 'Branson', 'M', 'bobbie.branson@hotmail.com', '35340', '0.991400462962963', '4/27/2017', '216-849-6986', '047-15-8435', 'bebranson'),
(633636, 'Bertram', 'R', 'Carlisle', 'M', 'bertram.carlisle@aol.com', '12/31/1982', '0.850428240740741', '40950', '215-614-1953', '257-99-3865', 'brcarlisle'),
(823898, 'Carlton', 'E', 'Leclair', 'M', 'carlton.leclair@cox.net', '3/17/1986', '0.657638888888889', '39995', '319-943-1308', '044-15-4027', 'celeclair'),
(413865, 'Todd', 'R', 'Slater', 'M', 'todd.slater@earthlink.net', '34948', '0.44087962962963', '42919', '218-671-2547', '553-99-2106', 'trslater'),
(439483, 'Adalberto', 'K', 'Hazel', 'M', 'adalberto.hazel@yahoo.co.in', '21774', '0.936342592592593', '4/27/1995', '262-893-5324', '264-99-9423', 'akhazel'),
(809408, 'Seymour', 'B', 'Nelson', 'M', 'seymour.nelson@hotmail.com', '1/21/1996', '0.0482638888888889', '42773', '215-821-4109', '119-98-1796', 'sbnelson'),
(748190, 'Vicente', 'D', 'Dawkins', 'M', 'vicente.dawkins@gmail.com', '6/17/1994', '0.274421296296296', '42407', '217-567-3339', '116-98-6696', 'vddawkins'),
(397283, 'Rex', 'Q', 'Ng', 'M', 'rex.ng@yahoo.com', '8/22/1982', '0.0188888888888889', '1/17/2007', '215-352-5080', '192-86-7823', 'rqng'),
(553684, 'Arlena', 'I', 'Clough', 'F', 'arlena.clough@yahoo.com', '10/15/1957', '0.692662037037037', '12/26/2015', '316-737-9183', '032-92-6090', 'aiclough'),
(495667, 'Cory', 'H', 'Clarke', 'M', 'cory.clarke@shell.com', '29257', '0.986886574074074', '4/27/2012', '480-381-5936', '731-28-8642', 'chclarke'),
(936158, 'Sofia', 'Y', 'Poole', 'F', 'sofia.poole@earthlink.net', '23448', '0.622847222222222', '7/18/1993', '215-824-1223', '126-98-9929', 'sypoole'),
(537591, 'Samuel', 'G', 'Wendt', 'M', 'samuel.wendt@bellsouth.net', '11/25/1976', '0.25662037037037', '2/24/2016', '229-497-4180', '369-39-1426', 'sgwendt'),
(909018, 'Virgil', 'R', 'Trowbridge', 'M', 'virgil.trowbridge@aol.com', '31567', '0.210150462962963', '11/21/2016', '202-652-7351', '005-13-9026', 'vrtrowbridge'),
(878666, 'Elda', 'Y', 'Champagne', 'F', 'elda.champagne@gmail.com', '5/21/1983', '0.8196875', '42593', '218-621-9347', '540-83-9723', 'eychampagne'),
(995710, 'Robert', 'G', 'Guinn', 'M', 'robert.guinn@walmart.com', '6/14/1972', '0.000243055555555556', '35643', '219-797-9997', '403-73-1584', 'rgguinn'),
(511059, 'Humberto', 'W', 'Sauer', 'M', 'humberto.sauer@yahoo.com', '32816', '0.646979166666667', '41254', '231-445-8008', '210-84-3620', 'hwsauer'),
(754455, 'Anastasia', 'N', 'Childers', 'F', 'anastasia.childers@hotmail.com', '12/20/1988', '0.910914351851852', '2/26/2011', '262-835-1119', '753-07-4603', 'anchilders'),
