insert into creitcardsexcel values('Card Type Full Name', 'Issuing Bank', Card Number, 'Card Holder's Name', CVV/CVV2, Issue Date, Expiry Date, Billing Date, Card PIN, Credit Limit),
('American Express', 'American Express', 340383198517962, 'Karly M Soria', 7758, 42583, 46600, 23, 6065, 27700),
('Master Card', 'Citibank', 5306997581217780, 'Ruby Holder', 84, 39356, 41548, 4, 9037, 116400),
('Diners Club International', 'Diners Club', 30945949913123, 'Omar W Hutto', 568, 39203, 41760, 12, 4358, 67400),
('Diners Club International', 'Diners Club', 30537911733017, 'Joe Tanner', 804, 40848, 41579, 3, 2563, 121900),
('Visa', 'GE Capital', 4297730994426980, 'Vern F Weathers', 442, 41456, 45108, 5, 4815, 81800),
('Japan Credit Bureau', 'JCB', 3560721478483020, 'Tyler F Burnett', 562, 40330, 43617, 14, 9335, 105100),
('Japan Credit Bureau', 'JCB', 3529109305559990, 'Colin L Halcomb', 505, 39904, 41000, 2, 6328, 76100),
('Visa', 'Chase', 4652251681122470, 'Elsie A Harding', 32, 39173, 45383, 5, 561, 28700),
('American Express', 'American Express', 372911403905506, 'Hal Dietz', 7438, 41426, 44713, 4, 1594, 39300),
('Visa', 'Citibank', 4414394415916870, 'Craig U Parsons', 822, 42005, 44562, 11, 9174, 105100),
('Master Card', 'Barclays', 5336698056530800, 'Cliff Q Carroll', 120, 40238, 46813, 11, 8774, 126000),
('Discover', 'Discover', 6477677465448580, 'Melanie Dunlap', 213, 39264, 44743, 15, 9828, 157500),
('Diners Club International', 'Diners Club', 30542332114227, 'Santos Hutchison', 31, 41913, 43739, 12, 6483, 196100),
('Visa', 'Barclays', 4671469008084230, 'Anna J Kline', 298, 41030, 46874, 25, 8945, 143600),
('Japan Credit Bureau', 'JCB', 3586779129236750, 'Lonna X Tribble', 944, 42248, 48458, 7, 8654, 52100),
('Diners Club International', 'Diners Club', 39981360225359, 'Jeanette Reynolds', 218, 39873, 43525, 13, 5112, 111600),
('Visa', 'Bank of America', 4039583165472650, 'Leeann M Vandiver', 144, 39264, 39630, 19, 8358, 43400),
('Master Card', 'Citibank', 5443425704658930, 'Warren A Winters', 159, 39083, 46023, 11, 2639, 190800),
('American Express', 'American Express', 375225695672782, 'Lupe Luther', 6001, 40664, 42125, 10, 2117, 50900),
('Visa', 'Chase', 4673485390215360, 'Evelyn M Burgess', 668, 42917, 50222, 12, 3594, 121800),
('American Express', 'American Express', 374186544968048, 'Roselia Doran', 7477, 42217, 46966, 2, 8802, 40600),
('Japan Credit Bureau', 'JCB', 3584695436314410, 'John B Malone', 399, 42644, 44835, 16, 6132, 162900),
('Japan Credit Bureau', 'JCB', 3539645577097560, 'Jimmie B Thatcher', 903, 39630, 42552, 23, 9655, 100400),
('Japan Credit Bureau', 'JCB', 3536290402040170, 'Shirley Roman', 400, 39722, 45566, 28, 9418, 123000),
('Diners Club International', 'Diners Club', 30100727523641, 'Nakesha E Hamlin', 730, 39387, 40848, 11, 8509, 15000),
('Visa', 'Chase', 4587800354396000, 'Victor U Daniels', 254, 39661, 46600, 14, 7970, 162700),
('Master Card', 'Chase', 5204099899892370, 'Stanley R Morton', 151, 40087, 45931, 17, 3766, 189500),
('Diners Club International', 'Diners Club', 30228198091275, 'Martin X Powers', 26, 40026, 46600, 8, 722, 18400),
