
insert into TabladeTarjetas values(340383198517962, 'American Express', 'American Express', 'Karly M Soria', '42583', '46600', '23', '7758', '6065'),
(5306997581217780, 'Master Card', 'Citibank', 'Ruby Holder', '39356', '41548', '4', '84', '9037'),
(30945949913123, 'Diners Club International', 'Diners Club', 'Omar W Hutto', '39203', '41760', '12', '568', '4358'),
(30537911733017, 'Diners Club International', 'Diners Club', 'Joe Tanner', '40848', '41579', '3', '804', '2563'),
(4297730994426980, 'Visa', 'GE Capital', 'Vern F Weathers', '41456', '45108', '5', '442', '4815'),
(3560721478483020, 'Japan Credit Bureau', 'JCB', 'Tyler F Burnett', '40330', '43617', '14', '562', '9335'),
(3529109305559990, 'Japan Credit Bureau', 'JCB', 'Colin L Halcomb', '39904', '41000', '2', '505', '6328'),
(4652251681122470, 'Visa', 'Chase', 'Elsie A Harding', '39173', '45383', '5', '32', '561'),
(372911403905506, 'American Express', 'American Express', 'Hal Dietz', '41426', '44713', '4', '7438', '1594'),
(4414394415916870, 'Visa', 'Citibank', 'Craig U Parsons', '42005', '44562', '11', '822', '9174'),
(5336698056530800, 'Master Card', 'Barclays', 'Cliff Q Carroll', '40238', '46813', '11', '120', '8774'),
(6477677465448580, 'Discover', 'Discover', 'Melanie Dunlap', '39264', '44743', '15', '213', '9828'),
(30542332114227, 'Diners Club International', 'Diners Club', 'Santos Hutchison', '41913', '43739', '12', '31', '6483'),
(4671469008084230, 'Visa', 'Barclays', 'Anna J Kline', '41030', '46874', '25', '298', '8945'),
(3586779129236750, 'Japan Credit Bureau', 'JCB', 'Lonna X Tribble', '42248', '48458', '7', '944', '8654'),
(39981360225359, 'Diners Club International', 'Diners Club', 'Jeanette Reynolds', '39873', '43525', '13', '218', '5112'),
(4039583165472650, 'Visa', 'Bank of America', 'Leeann M Vandiver', '39264', '39630', '19', '144', '8358'),
(5443425704658930, 'Master Card', 'Citibank', 'Warren A Winters', '39083', '46023', '11', '159', '2639'),
(375225695672782, 'American Express', 'American Express', 'Lupe Luther', '40664', '42125', '10', '6001', '2117'),
(4673485390215360, 'Visa', 'Chase', 'Evelyn M Burgess', '42917', '50222', '12', '668', '3594'),
(374186544968048, 'American Express', 'American Express', 'Roselia Doran', '42217', '46966', '2', '7477', '8802'),
(3584695436314410, 'Japan Credit Bureau', 'JCB', 'John B Malone', '42644', '44835', '16', '399', '6132'),
(3539645577097560, 'Japan Credit Bureau', 'JCB', 'Jimmie B Thatcher', '39630', '42552', '23', '903', '9655'),
(3536290402040170, 'Japan Credit Bureau', 'JCB', 'Shirley Roman', '39722', '45566', '28', '400', '9418'),
(30100727523641, 'Diners Club International', 'Diners Club', 'Nakesha E Hamlin', '39387', '40848', '11', '730', '8509'),
(4587800354396000, 'Visa', 'Chase', 'Victor U Daniels', '39661', '46600', '14', '254', '7970'),
(5204099899892370, 'Master Card', 'Chase', 'Stanley R Morton', '40087', '45931', '17', '151', '3766'),
(30228198091275, 'Diners Club International', 'Diners Club', 'Martin X Powers', '40026', '46600', '8', '26', '722'),
(30231988222407, 'Diners Club International', 'Diners Club', 'Raylene Z Boyer', '40330', '44713', '4', '531', '6192'),
(340157908654228, 'American Express', 'American Express', 'Wendy W Hayden', '39295', '40391', '28', '9255', '2640'),
(30096934321797, 'Diners Club International', 'Diners Club', 'Jeremiah E Brinkley', '42917', '48030', '8', '919', '9102'),
(374616542205811, 'American Express', 'American Express', 'Alan W Wilder', '40118', '41579', '4', '1776', '9169'),
(30450093019496, 'Diners Club International', 'Diners Club', 'Yan K Kunz', '42125', '49430', '28', '818', '9984'),
(4992573212985040, 'Visa', 'PNC', 'Jacob X Humphrey', '39753', '45597', '7', '436', '6363'),
(4344596663558220, 'Visa', 'Chase', 'Eilene T Curtin', '41153', '44075', '8', '288', '5132'),
(4377091843383870, 'Visa', 'First National', 'Aaron P Mcclain', '41791', '45078', '8', '273', '1979'),
(30064555124346, 'Diners Club International', 'Diners Club', 'Lonny Q Hooks', '43009', '48488', '16', '58', '1352'),
(6011275780750530, 'Discover', 'Discover', 'Adam Morrow', '42767', '48611', '22', '230', '5368'),
(3579590271370970, 'Japan Credit Bureau', 'JCB', 'Brendon R Mercier', '41214', '45597', '1', '871', '1296'),
(30903698918330, 'Diners Club International', 'Diners Club', 'Joanne Mccullough', '39692', '46997', '1', '995', '6460'),
(3537775104285200, 'Japan Credit Bureau', 'JCB', 'Hubert O Bartholomew', '39753', '41579', '9', '180', '1497'),
(379937223519790, 'American Express', 'American Express', 'Martin Molina', '40087', '46661', '17', '2639', '6673'),
(3561626807219920, 'Japan Credit Bureau', 'JCB', 'Katheryn Wolf', '42522', '43617', '21', '148', '4659'),
(4421311527786580, 'Visa', 'Chase', 'Crystal W Clark', '40787', '47362', '23', '114', '7038'),
(3569836739905170, 'Japan Credit Bureau', 'JCB', 'Carroll B James', '42064', '45352', '20', '931', '264'),
(5325373502424960, 'Master Card', 'Citibank', 'Teresa Glenn', '41640', '45292', '13', '742', '1370'),
(30349539953617, 'Diners Club International', 'Diners Club', 'Tomas O Guenther', '39173', '39539', '28', '673', '70'),
(5327929019317970, 'Master Card', 'Chase', 'Raymond O Page', '41426', '45444', '12', '484', '4790'),
(4247446628796320, 'Visa', 'Citibank', 'Yesenia Y Teague', '39722', '40452', '23', '430', '7546'),
(30518364878608, 'Diners Club International', 'Diners Club', 'Darrell W Harrison', '42309', '43770', '20', '931', '406'),
(5361374913450100, 'Master Card', 'Bank of America', 'Concepcion Scroggins', '42583', '45870', '3', '106', '2819'),
(347009468783579, 'American Express', 'American Express', 'Brandon L Bishop', '39114', '42767', '28', '5526', '9476'),
(4217468379892460, 'Visa', 'Barclays', 'Booker U Sinclair', '42917', '49126', '22', '523', '7191'),
(349587852150552, 'American Express', 'USAA', 'Edward J Hall', '42856', '48700', '26', '4140', '2860'),
(6011645937175230, 'Discover', 'Discover', 'Darline Craddock', '39356', '39722', '4', '770', '3789'),
(4432485164334030, 'Visa', 'Chase', 'Tiffany Wiggins', '42370', '48580', '26', '856', '4068'),
(4586168671701210, 'Visa', 'Chase', 'Betty U Mckeown', '42614', '43344', '2', '944', '3409'),
(5225997501134580, 'Master Card', 'Barclays', 'Joyce E Mckenzie', '39630', '44013', '8', '586', '6729'),
(4527448743586630, 'Visa', 'PNC', 'Vern X Ramsey', '42675', '43405', '22', '100', '7117'),
(6223322241015980, 'Discover', 'Discover', 'Evelyn P Lawrence', '42156', '49096', '3', '532', '1781'),
(4572466979667090, 'Visa', 'Chase', 'Evelyn Ligon', '42461', '46478', '11', '450', '9676'),
(30402851447997, 'Diners Club International', 'Diners Club', 'Shawn Mann', '41122', '47696', '23', '718', '2205'),
(373894406553268, 'American Express', 'American Express', 'Melva N Mota', '42736', '48580', '27', '3984', '348'),
(3547250924875030, 'Japan Credit Bureau', 'JCB', 'Juanita R Turner', '42767', '49706', '17', '933', '5607'),
(30968657957629, 'Diners Club International', 'Diners Club', 'Dannie Martinson', '41122', '43313', '9', '770', '145'),
(38322820662363, 'Diners Club International', 'Diners Club', 'Janet L Freeman', '42491', '46874', '3', '339', '7462'),
(3564732238658450, 'Japan Credit Bureau', 'JCB', 'Hobert P Todd', '39600', '39965', '27', '140', '7090'),
(6452997572318880, 'Discover', 'Discover', 'Nicholas Y Juarez', '39203', '44317', '5', '413', '343'),
(5144404300879380, 'Master Card', 'Bank of America', 'Anton Z Godwin', '40695', '42156', '28', '359', '3546'),
(347487869477530, 'American Express', 'American Express', 'Bernard Frazier', '41456', '44013', '5', '8231', '6930'),
(6011337631415180, 'Discover', 'Discover', 'Loida Z Halstead', '40909', '43831', '25', '690', '2174'),
(30400251787491, 'Diners Club International', 'Diners Club', 'Vernon U Sheppard', '40544', '45658', '14', '92', '7126'),
(341465352659968, 'American Express', 'U.S. Bancorp', 'Tashia F Steinberg', '43040', '45231', '28', '4462', '9596'),
(5212586127031070, 'Master Card', 'Citibank', 'Paula S Sosa', '40544', '45658', '15', '864', '2083'),
(4849636990986250, 'Visa', 'Cabela’s WFB', 'Zenia Clegg', '39142', '46082', '2', '560', '9305'),
(6011038820512990, 'Discover', 'Discover', 'Matthew A Madden', '42583', '47696', '10', '674', '460'),
(30528509169771, 'Diners Club International', 'Diners Club', 'Rheba L Castro', '41944', '47788', '15', '71', '7905'),
(5118023019872920, 'Master Card', 'Bank of America', 'Rebecca A Sweet', '41456', '45108', '22', '333', '4716'),
(5195293666286350, 'Master Card', 'Barclays', 'Nilda A Kinard', '40634', '42095', '27', '415', '1225'),
(30080548401088, 'Diners Club International', 'Diners Club', 'Glen S Mccarty', '42795', '50100', '4', '954', '7752'),
(6011933714512920, 'Discover', 'Discover', 'Len O Blanks', '40544', '47484', '2', '191', '9383'),
(6011259381673940, 'Discover', 'Discover', 'Jessica O Whitley', '40725', '46935', '28', '346', '2726'),
(375076508489157, 'American Express', 'U.S. Bancorp', 'Wes Branson', '41214', '43405', '8', '239', '2361'),
(5483159393314090, 'Master Card', 'Citibank', 'Yolanda E Rutledge', '41640', '46753', '17', '773', '1337'),
(5457307145215270, 'Master Card', 'Bank of America', 'Catheryn Cain', '41852', '44409', '21', '706', '143'),
