
insert into TabladeRelacionesFamiliares values(526540, 'Rick Goodwin', 'Dorian Goodwin', 'Maxey'),
(859327, 'Ryan Shaffer', 'Love Shaffer', 'Gunderson'),
(887387, 'Mauro Farris', 'Edyth Farris', 'Greer'),
(779497, 'Elden Rendon', 'Angela Rendon', 'Ortiz'),
(896517, 'Clifford Almanza', 'Vergie Almanza', 'Darby'),
(220965, 'Richard Brookins', 'Angelika Brookins', 'Pape'),
(721091, 'Joan Branson', 'Nu Branson', 'Frazer'),
(633636, 'Ivory Carlisle', 'Bao Carlisle', 'Cintron'),
(823898, 'Elroy Leclair', 'Georgann Leclair', 'Merchant'),
(413865, 'Donnie Slater', 'Shay Slater', 'Conaway'),
(439483, 'Frank Hazel', 'Elizabet Hazel', 'Bolt'),
(809408, 'Isaiah Nelson', 'Novella Nelson', 'Chilton'),
(748190, 'Barrett Dawkins', 'Alva Dawkins', 'Mcvay'),
(397283, 'Rene Ng', 'Beata Ng', 'Gayle'),
(553684, 'Willy Clough', 'Brinda Clough', 'Bates'),
(495667, 'Lynwood Clarke', 'Fallon Clarke', 'Velez'),
(936158, 'Leigh Poole', 'Na Poole', 'Luce'),
(537591, 'Danial Wendt', 'Tandra Wendt', 'Derosa'),
(909018, 'Francisco Trowbridge', 'Chasidy Trowbridge', 'Soto'),
(878666, 'Roderick Champagne', 'Bok Champagne', 'Garrison'),
(995710, 'Samual Guinn', 'Jona Guinn', 'Cobb'),
(511059, 'Donte Sauer', 'Lucy Sauer', 'Truitt'),
(754455, 'Adalberto Childers', 'Beryl Childers', 'Mcneely'),
(489275, 'Rene Kidd', 'Lili Kidd', 'Knight'),
(500905, 'Henry Beavers', 'Birgit Beavers', 'Mcinnis'),
(984409, 'Francis John', 'Sharmaine John', 'Labbe'),
(812053, 'Barney Stanton', 'Vanna Stanton', 'Sumner'),
(550206, 'Johnson Easley', 'Alessandra Easley', 'Larson'),
(728053, 'Lyle Fite', 'Arie Fite', 'Arteaga'),
(184257, 'Wilbert Knox', 'Hildegard Knox', 'Lacey'),
(235295, 'Graham Mullis', 'Regena Mullis', 'Ceja'),
(767674, 'Kim Dang', 'Joseph Dang', 'Shockley'),
(391837, 'Louis Hayden', 'Kathi Hayden', 'Billups'),
